"AX2"	"AX3"	"AX4"	"AX5"	"DPS1"	"DPS2"	"DPS3"	"DPS4"	"DPS5"	"DVM1"	"DVM2"	"DVM4"	"DVM5"	"DVM6"
"Sro1444_g273300.1"	4	2	0	4	6	0	0	0	0	0	0	0	0	0
"Sro1444_g273310.1"	0	2	0	8	0	0	1	0	0	0	0	0	0	0
"Sro1444_g273320.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1445_g273330.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1445_g273340.1"	0	1	0	1	0	0	0	1	0	0	0	0	0	2
"Sro1445_g273350.1"	1	3	8	13	0	0	0	0	2	0	0	0	0	2
"Sro1445_g273360.1"	10	0	0	8	5	8	5	1	0	0	2	7	0	2
"Sro1445_g273370.1"	223	84	312	285	187	141	85	62	138	35	46	73	35	81
"Sro1445_g273380.1"	1	1	13	7	0	0	0	5	2	0	0	0	0	2
"Sro1445_g273390.1"	3	5	1	10	4	7	0	4	5	0	0	0	0	4
"Sro1445_g273400.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1445_g273410.1"	21	12	23	50	43	20	8	14	41	9	15	3	0	18
"Sro1445_g273420.1"	0	1	0	7	0	0	0	0	1	0	0	0	0	0
"Sro1446_g273430.1"	122	65	100	238	130	84	49	47	163	26	61	32	26	63
"Sro1446_g273440.1"	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1446_g273450.1"	12	4	18	43	52	7	14	23	23	1	8	2	9	8
"Sro1446_g273460.1"	0	3	0	3	7	0	0	0	0	0	8	0	0	0
"Sro1446_g273470.1"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Sro1446_g273480.1"	6	8	19	14	0	0	2	0	9	9	5	0	0	3
"Sro1446_g273490.1"	3	0	19	11	1	2	0	3	4	0	0	0	0	7
"Sro1446_g273500.1"	3	9	0	10	28	6	1	6	3	2	1	2	0	3
"Sro1446_g273510.1"	11	6	0	5	0	4	0	3	0	0	5	0	1	1
"Sro1447_g273520.1"	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"Sro1447_g273530.1"	0	0	12	0	0	0	0	0	0	0	0	0	0	0
"Sro1447_g273540.1"	12	4	33	30	0	14	4	6	18	0	15	6	0	3
"Sro1447_g273550.1"	48	33	31	85	52	44	10	38	76	1	12	4	19	64
"Sro1447_g273560.1"	79	52	95	250	288	106	30	65	123	28	39	69	66	190
"Sro1447_g273561.1"	0	0	9	2	0	0	0	0	2	0	0	0	0	0
"Sro1447_g273570.1"	18	5	52	54	69	29	19	15	16	4	0	7	1	11
"Sro1447_g273580.1"	7	15	23	29	40	14	3	9	19	19	18	19	14	13
"Sro1447_g273590.1"	76	50	172	176	178	0	5	4	79	11	11	35	9	0
"Sro1447_g273600.1"	4	7	13	8	18	0	2	0	5	7	0	0	2	6
"Sro1448_g273610.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273620.1"	10	13	12	15	1	9	8	9	25	0	9	5	7	5
"Sro1449_g273630.1"	0	0	0	6	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273630.2"	4	2	2	0	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273640.1"	3	0	12	0	12	0	1	0	0	0	0	0	0	0
"Sro1449_g273641.1"	0	0	10	7	0	4	0	0	0	0	0	0	0	0
"Sro1449_g273650.1"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Sro1449_g273660.1"	4	0	31	6	0	4	2	0	13	1	0	0	0	0
"Sro1449_g273670.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273680.1"	0	0	0	2	0	0	1	0	0	0	0	5	0	0
"Sro1449_g273690.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273700.1"	0	3	0	0	0	0	0	0	1	0	0	0	0	0
"Sro1449_g273710.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273720.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273721.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro1449_g273730.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g066830.1"	3	1	23	3	8	0	0	0	2	0	0	4	0	0
"Sro144_g066840.1"	22	7	28	40	51	0	11	16	25	10	0	12	3	3
"Sro144_g066850.1"	9	17	23	27	3	8	6	7	10	7	8	0	0	1
"Sro144_g066860.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro144_g066870.1"	0	0	0	2	0	0	0	0	1	0	0	0	0	0
"Sro144_g066880.1"	26	1	27	18	4	12	4	8	13	5	5	4	0	14
"Sro144_g066890.1"	66	70	124	208	135	81	46	40	92	25	45	16	27	97
"Sro144_g066900.1"	0	0	0	7	4	0	0	0	0	0	0	0	0	0
"Sro144_g066910.1"	19	7	28	21	28	9	6	7	38	21	10	16	2	7
"Sro144_g066920.1"	0	0	0	7	0	7	0	0	3	0	12	2	0	0
"Sro144_g066930.1"	13	5	10	15	19	1	9	12	3	1	17	9	4	16
"Sro144_g066940.1"	2	1	8	8	4	8	7	0	5	2	5	0	3	6
"Sro144_g066950.1"	32	5	16	52	27	41	0	13	31	0	10	2	4	15
"Sro144_g066960.1"	16	9	12	21	12	1	0	4	2	1	2	8	0	7
"Sro144_g066970.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g066980.1"	47	34	86	75	96	60	20	22	52	15	26	29	23	30
"Sro144_g066990.1"	27	25	14	80	35	22	15	11	31	13	0	19	18	32
"Sro144_g067000.1"	0	0	14	10	0	0	4	8	7	0	3	2	0	3
"Sro144_g067010.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067020.1"	5	0	15	13	4	1	3	2	4	7	0	1	0	2
"Sro144_g067030.1"	7	1	27	15	4	2	7	6	0	0	0	0	0	1
"Sro144_g067040.1"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Sro144_g067050.1"	158	113	387	548	289	125	109	123	274	32	61	47	49	278
"Sro144_g067060.1"	0	0	21	16	0	0	0	3	1	0	0	0	0	0
"Sro144_g067070.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067080.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067090.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067100.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067110.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067120.1"	0	3	0	0	0	0	0	0	0	0	0	5	0	0
"Sro144_g067130.1"	5	8	24	2	0	5	4	1	5	0	0	0	0	1
"Sro144_g067140.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067150.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro144_g067151.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1450_g273740.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1450_g273750.1"	0	0	0	0	0	0	0	0	4	0	0	0	0	0
"Sro1450_g273751.1"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Sro1450_g273760.1"	0	0	0	11	0	0	0	0	2	0	0	2	1	7
"Sro1450_g273770.1"	7	5	1	17	36	9	4	8	14	12	18	18	0	16
"Sro1450_g273780.1"	68	38	65	207	83	82	44	30	142	0	41	25	17	48
"Sro1450_g273790.1"	6	0	3	8	4	2	0	0	5	0	0	0	4	0
"Sro1450_g273800.1"	5	0	5	1	0	0	0	0	0	0	0	0	0	1
"Sro1450_g273801.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1450_g273810.1"	0	6	0	10	6	10	0	4	14	3	0	0	3	0
"Sro1450_g273810.2"	5	0	26	38	0	0	1	0	0	0	0	0	0	27
"Sro1450_g273820.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1451_g273830.1"	256	240	553	943	468	456	219	391	276	106	113	128	88	750
"Sro1451_g273840.1"	19	20	18	10	1	20	3	13	19	1	12	3	5	8
"Sro1451_g273850.1"	50	21	48	48	35	24	11	15	26	0	17	6	9	9
"Sro1451_g273860.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1451_g273861.1"	2	1	1	8	6	2	3	2	3	1	0	4	0	7
"Sro1451_g273862.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"Sro1451_g273863.1"	0	1	0	2	0	1	0	0	0	0	0	0	0	1
"Sro1451_g273870.1"	14	10	23	45	80	17	25	26	6	4	10	12	9	14
"Sro1451_g273871.1"	1	0	0	2	2	0	0	0	0	0	0	0	0	3
"Sro1452_g273880.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1452_g273881.1"	13	3	4	4	0	6	0	0	2	0	0	7	0	0
"Sro1452_g273890.1"	4	3	14	7	5	2	1	0	0	2	0	4	0	3
"Sro1452_g273900.1"	4	2	37	37	5	0	0	15	5	3	3	7	6	18
"Sro1452_g273900.2"	0	7	0	0	17	0	1	0	11	0	0	0	0	0
"Sro1452_g273910.1"	0	0	0	7	0	0	3	0	0	0	0	0	0	0
"Sro1452_g273920.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1452_g273930.1"	0	5	4	1	0	0	0	1	0	0	0	0	0	0
"Sro1452_g273940.1"	6	7	20	37	2	9	13	0	8	0	0	6	0	3
"Sro1452_g273950.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1452_g273960.1"	0	0	0	0	0	0	0	0	4	0	3	0	0	0
"Sro1453_g273970.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1453_g273980.1"	7	4	20	12	8	22	11	2	6	4	0	5	7	7
"Sro1453_g273990.1"	23	9	44	33	25	41	11	13	19	6	6	6	2	7
"Sro1453_g274000.1"	2	1	12	10	14	3	8	0	14	6	7	2	0	0
"Sro1453_g274010.1"	302	174	613	341	109	107	43	79	109	19	40	50	30	54
"Sro1453_g274020.1"	212	86	339	344	249	183	131	126	351	37	91	65	35	80
"Sro1453_g274030.1"	23	19	36	16	30	8	0	5	15	0	0	0	2	2
"Sro1453_g274040.1"	1	0	0	23	8	0	6	1	1	0	0	7	0	1
"Sro1453_g274050.1"	0	2	4	10	0	12	2	0	0	0	0	7	0	0
"Sro1453_g274060.1"	0	2	12	1	0	0	2	0	0	0	0	0	0	0
"Sro1454_g274070.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1454_g274080.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1454_g274090.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1455_g274100.1"	8	4	13	3	3	14	3	2	0	0	0	0	0	7
"Sro1455_g274110.1"	44	10	48	84	76	44	12	25	44	3	5	19	11	16
"Sro1455_g274120.1"	9	25	25	27	46	38	21	4	52	22	6	0	0	25
"Sro1455_g274130.1"	0	0	0	16	12	0	0	4	6	8	0	4	0	9
"Sro1455_g274140.1"	4	6	10	16	49	24	9	16	40	11	48	13	6	39
"Sro1455_g274150.1"	11	11	21	26	26	22	8	3	17	1	7	4	8	20
"Sro1455_g274160.1"	0	1	0	5	7	6	0	5	5	0	0	0	0	3
"Sro1455_g274170.1"	17	5	8	5	0	20	7	16	13	0	0	2	0	29
"Sro1455_g274180.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1455_g274190.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1456_g274200.1"	0	1	0	0	4	5	6	2	3	1	5	7	0	20
"Sro1456_g274210.1"	48	40	83	180	110	65	49	48	65	17	40	30	21	100
"Sro1456_g274220.1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1456_g274230.1"	28	3	5	3	7	0	0	5	2	0	3	5	0	0
"Sro1456_g274240.1"	6	0	0	5	0	0	3	10	6	0	9	0	0	3
"Sro1456_g274250.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1456_g274260.1"	0	2	7	6	0	0	0	0	6	8	0	0	0	3
"Sro1456_g274270.1"	0	0	8	18	2	4	0	10	0	0	2	0	0	3
"Sro1456_g274280.1"	0	0	3	6	0	0	0	3	0	0	0	0	0	0
"Sro1456_g274290.1"	22	43	72	240	50	61	60	33	144	0	49	31	11	56
"Sro1457_g274300.1"	30	10	17	35	38	17	8	16	30	2	13	0	15	23
"Sro1457_g274310.1"	0	0	14	5	0	0	0	0	4	0	0	0	0	0
"Sro1457_g274310.2"	20	16	79	31	15	13	10	5	27	10	14	7	7	34
"Sro1457_g274320.1"	24	13	19	18	16	6	4	6	16	1	6	10	1	0
"Sro1457_g274330.1"	9	3	6	12	4	5	4	5	0	0	0	2	2	0
"Sro1457_g274340.1"	0	0	9	3	0	0	0	0	0	0	0	0	0	0
"Sro1457_g274350.1"	22	26	87	118	142	52	20	84	98	25	25	11	10	27
"Sro1457_g274360.1"	60	15	66	83	18	18	27	30	62	8	33	8	4	16
"Sro1457_g274370.1"	0	1	7	1	0	0	1	0	0	0	0	4	0	1
"Sro1458_g274380.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1458_g274390.1"	22	25	94	67	19	18	11	22	36	1	8	10	15	8
"Sro1458_g274400.1"	9	13	18	37	29	27	4	10	0	11	7	0	16	8
"Sro1458_g274410.1"	37	27	71	96	92	75	31	56	70	3	30	21	23	56
"Sro1458_g274420.1"	0	1	8	0	8	6	1	0	0	0	0	0	0	0
"Sro1458_g274430.1"	0	0	0	3	14	0	0	1	0	0	0	0	0	1
"Sro1458_g274440.1"	16	6	29	28	15	16	2	3	19	0	4	2	15	6
"Sro1458_g274450.1"	11	0	0	11	5	7	1	0	1	0	0	2	0	6
"Sro1458_g274460.1"	2	0	0	4	0	0	0	0	8	0	0	0	0	0
"Sro1458_g274470.1"	76	55	144	152	75	90	40	60	109	21	36	32	41	69
"Sro1459_g274480.1"	12	12	13	11	47	31	3	5	17	5	0	0	5	12
"Sro1459_g274490.1"	66	63	191	282	177	77	66	67	135	42	132	43	25	189
"Sro1459_g274500.1"	1	0	28	4	4	12	5	6	0	0	2	1	2	5
"Sro1459_g274510.1"	20	10	12	44	12	7	2	7	8	0	12	3	0	3
"Sro1459_g274520.1"	8	0	1	7	0	3	0	1	12	3	3	0	0	1
"Sro1459_g274530.1"	18	8	3	15	8	0	2	4	3	0	4	2	0	0
"Sro1459_g274540.1"	1	0	6	6	3	1	1	7	0	0	4	0	0	7
"Sro1459_g274550.1"	0	0	0	0	0	0	0	0	8	0	0	0	0	0
"Sro1459_g274560.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro145_g067160.1"	4	0	0	3	0	0	0	6	0	0	0	0	0	0
"Sro145_g067170.1"	4	2	15	11	4	15	3	2	2	0	0	0	0	11
"Sro145_g067180.1"	25	30	28	49	10	6	10	7	9	43	58	3	5	10
"Sro145_g067190.1"	11	0	35	24	32	19	9	0	11	2	21	6	6	7
"Sro145_g067200.1"	0	0	0	3	2	0	3	0	0	0	3	0	0	5
"Sro145_g067210.1"	9	4	60	57	9	3	2	6	11	3	9	9	7	29
"Sro145_g067220.1"	90	44	97	177	162	101	33	86	158	41	40	31	27	100
"Sro145_g067230.1"	12	2	7	25	32	3	6	16	4	0	0	0	0	2
"Sro145_g067240.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro145_g067250.1"	11	0	41	0	11	2	8	15	18	0	16	0	2	6
"Sro145_g067260.1"	8	0	0	4	0	0	0	0	0	0	0	0	0	0
"Sro145_g067270.1"	0	0	19	10	5	0	0	0	6	0	1	0	0	3
"Sro145_g067280.1"	0	0	0	7	0	3	0	4	0	0	0	0	0	0
"Sro145_g067290.1"	4	1	6	14	0	0	5	0	3	0	0	0	0	1
"Sro145_g067300.1"	55	70	141	363	29	53	40	18	116	27	77	23	8	86
"Sro145_g067310.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro145_g067320.1"	1	0	1	0	0	0	0	0	4	0	0	0	0	0
"Sro145_g067330.1"	0	0	0	0	0	0	0	0	0	0	6	0	0	0
"Sro145_g067340.1"	42	20	33	45	206	45	21	51	50	32	9	14	24	29
"Sro145_g067350.1"	4	4	6	24	7	18	2	6	37	0	8	0	3	42
"Sro145_g067360.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro145_g067370.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro145_g067370.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro145_g067371.1"	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"Sro145_g067380.1"	90	112	277	330	150	137	66	52	217	14	93	28	21	241
"Sro145_g067390.1"	11	15	39	161	66	53	26	66	115	3	38	13	10	111
"Sro145_g067400.1"	7	2	19	21	8	2	0	0	8	11	0	9	1	34
"Sro145_g067410.1"	33	62	95	349	103	57	69	59	241	12	81	26	43	368
"Sro145_g067411.1"	0	0	0	11	0	0	0	0	0	0	0	0	0	0
"Sro145_g067411.4"	8	3	0	0	1	0	0	0	6	0	0	0	1	8
"Sro1460_g274570.1"	0	1	0	0	3	0	0	3	3	0	0	3	0	0
"Sro1460_g274580.1"	5	0	0	3	4	5	0	0	0	4	0	0	7	0
"Sro1460_g274590.1"	2	16	44	33	5	11	3	4	4	4	14	2	6	10
"Sro1460_g274600.1"	56	19	180	159	45	80	51	9	58	6	42	10	3	36
"Sro1460_g274610.1"	1	4	0	6	0	0	3	5	14	0	0	0	0	1
"Sro1460_g274620.1"	2	9	19	7	10	4	0	4	8	0	0	0	0	0
"Sro1460_g274630.1"	11	5	0	13	9	0	1	0	6	4	6	6	0	1
"Sro1460_g274640.1"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Sro1460_g274650.1"	9	7	21	32	15	0	7	0	13	0	0	0	6	5
"Sro1460_g274660.1"	0	2	26	5	9	0	0	3	2	0	0	0	1	2
"Sro1460_g274670.1"	10	0	5	20	4	7	3	0	0	5	13	0	0	6
"Sro1460_g274670.2"	0	6	0	8	2	1	0	2	8	0	0	0	0	0
"Sro1460_g274680.1"	0	0	0	0	7	0	0	0	2	0	0	0	0	0
"Sro1460_g274690.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1461_g274700.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1461_g274710.1"	0	4	0	0	0	0	1	0	0	0	0	0	0	0
"Sro1461_g274720.1"	23	7	25	21	11	4	0	3	11	10	2	4	0	2
"Sro1461_g274730.1"	4	4	8	5	11	4	0	4	2	1	0	3	9	1
"Sro1461_g274740.1"	0	0	1	5	7	0	2	0	0	0	0	0	0	0
"Sro1461_g274750.1"	12	7	16	17	15	13	0	5	4	0	9	4	3	2
"Sro1461_g274760.1"	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"Sro1461_g274770.1"	1	0	0	0	0	0	0	0	0	1	0	2	0	2
"Sro1461_g274780.1"	23	17	59	39	37	18	1	13	22	0	0	0	1	4
"Sro1461_g274790.1"	34	46	153	181	104	94	34	38	112	9	82	28	29	161
"Sro1462_g274800.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Sro1463_g274810.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1463_g274820.1"	0	6	10	5	4	3	0	5	1	0	5	6	0	0
"Sro1463_g274830.1"	13	0	1	7	5	1	3	7	5	0	0	0	0	8
"Sro1463_g274831.1"	0	2	4	0	4	0	0	0	0	0	0	0	0	3
"Sro1463_g274840.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1463_g274850.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1463_g274860.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1463_g274870.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1463_g274880.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1464_g274881.1"	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"Sro1464_g274890.1"	59	79	153	500	57	34	18	44	204	21	2	11	14	134
"Sro1464_g274900.1"	120	107	289	573	140	192	110	72	238	80	211	69	30	495
"Sro1464_g274910.1"	4	0	8	0	0	9	2	0	6	0	0	1	0	0
"Sro1464_g274920.1"	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"Sro1464_g274930.1"	5	0	6	7	0	0	0	0	0	0	3	0	1	13
"Sro1465_g274940.1"	1201	885	2491	3745	2282	1627	998	1261	2601	507	1350	763	591	2410
"Sro1465_g274950.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1465_g274960.1"	0	3	0	6	0	0	3	0	0	0	3	2	0	0
"Sro1465_g274970.1"	39	19	38	134	68	58	39	57	70	4	51	18	0	135
"Sro1465_g274970.2"	0	0	0	0	0	0	0	0	0	11	0	0	9	0
"Sro1465_g274980.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1465_g274990.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1465_g275000.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1466_g275010.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1466_g275020.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1466_g275030.1"	0	3	25	12	12	0	0	6	3	0	6	0	0	0
"Sro1466_g275040.1"	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1466_g275050.1"	0	0	11	15	0	0	6	0	0	0	0	0	0	0
"Sro1466_g275050.2"	7	6	0	0	10	10	0	2	2	0	0	3	2	4
"Sro1466_g275060.1"	3	0	13	7	0	1	2	2	1	0	0	1	0	0
"Sro1466_g275070.1"	47	12	34	83	35	18	12	26	18	0	0	12	0	15
"Sro1466_g275080.1"	24	0	0	33	5	22	10	4	37	3	18	0	8	11
"Sro1467_g275090.1"	4	3	0	5	2	2	5	0	0	0	0	3	3	2
"Sro1467_g275100.1"	7	9	14	30	25	19	13	20	27	7	7	9	7	21
"Sro1467_g275110.1"	0	0	0	0	3	0	0	3	0	0	3	0	2	0
"Sro1467_g275120.1"	9	7	17	19	25	0	0	2	3	6	1	0	0	8
"Sro1467_g275130.1"	14	7	21	53	52	30	10	7	29	1	13	1	0	19
"Sro1467_g275140.1"	0	0	0	5	3	0	0	0	0	0	3	0	0	6
"Sro1467_g275150.1"	8	0	37	9	6	4	0	4	8	5	6	3	0	13
"Sro1468_g275160.1"	0	3	0	2	0	7	1	0	0	0	0	0	4	3
"Sro1468_g275170.1"	34	6	24	13	9	8	1	6	2	7	2	0	8	4
"Sro1468_g275180.1"	38	13	17	36	34	58	5	29	11	13	7	23	12	9
"Sro1468_g275190.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1468_g275200.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1468_g275210.1"	0	0	5	2	0	5	0	0	0	0	0	1	0	0
"Sro1468_g275220.1"	105	36	131	104	21	60	28	26	80	18	31	18	8	41
"Sro1468_g275230.1"	12	8	17	11	5	5	3	0	3	0	0	0	2	0
"Sro1468_g275240.1"	0	0	0	2	0	0	0	0	0	0	0	3	0	0
"Sro1468_g275250.1"	0	0	5	1	0	0	1	0	0	0	0	0	0	0
"Sro1468_g275260.1"	2	0	0	12	1	3	0	3	14	7	1	8	0	5
"Sro1468_g275270.1"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Sro1469_g275290.1"	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"Sro1469_g275300.1"	0	0	0	7	0	0	1	2	0	0	0	0	0	0
"Sro1469_g275310.1"	2	2	0	2	6	5	0	0	0	0	0	0	0	1
"Sro1469_g275330.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1469_g275340.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1469_g275350.1"	0	1	0	4	2	0	0	0	9	0	1	0	1	0
"Sro1469_g275360.1"	4	0	0	6	4	0	0	0	0	0	0	0	0	5
"Sro146_g067420.1"	83	50	111	87	117	35	48	22	41	72	9	17	24	56
"Sro146_g067430.1"	4	19	40	17	7	15	1	5	15	4	3	3	1	16
"Sro146_g067440.1"	0	0	0	1	0	0	0	0	3	0	22	0	0	7
"Sro146_g067450.1"	0	0	0	0	1	0	0	0	1	0	6	0	0	0
"Sro146_g067460.1"	9	1	5	14	30	5	2	12	6	0	0	11	0	22
"Sro146_g067470.1"	46	17	44	31	19	5	7	4	33	9	9	20	0	3
"Sro146_g067480.1"	11	3	7	15	4	14	0	10	9	0	9	2	4	7
"Sro146_g067490.1"	0	0	4	5	3	0	0	0	9	0	0	2	6	0
"Sro146_g067500.1"	15	4	24	34	5	12	3	0	11	3	3	0	8	18
"Sro146_g067510.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro146_g067520.1"	91	56	114	175	113	87	60	51	79	11	62	39	20	76
"Sro146_g067520.2"	0	0	0	0	0	0	0	0	4	0	0	11	0	19
"Sro146_g067530.1"	6	2	9	3	0	0	0	0	3	0	0	0	0	0
"Sro146_g067540.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro146_g067550.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro146_g067560.1"	273	122	373	489	631	176	145	165	317	81	147	156	116	312
"Sro146_g067570.1"	99	57	101	179	234	95	52	63	140	9	86	43	20	82
"Sro146_g067580.1"	172	144	322	496	675	199	138	125	326	84	160	97	91	279
"Sro146_g067590.1"	17	13	13	30	0	17	10	37	7	20	18	15	12	23
"Sro146_g067590.2"	36	27	61	127	60	70	15	62	115	32	31	27	11	138
"Sro146_g067600.1"	92	68	145	113	114	77	43	55	65	13	22	17	1	62
"Sro146_g067610.1"	21	13	14	44	18	22	11	28	19	10	0	10	1	11
"Sro146_g067620.1"	2	9	38	13	10	0	0	0	1	0	1	0	0	4
"Sro146_g067630.1"	48	34	107	85	33	35	10	22	36	10	6	6	17	7
"Sro146_g067640.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro146_g067650.1"	0	1	0	1	7	1	0	0	0	0	0	0	2	0
"Sro146_g067660.1"	0	6	1	12	10	4	1	3	1	0	0	1	0	14
"Sro146_g067661.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro146_g067670.1"	22	31	48	111	25	25	8	11	30	30	42	1	11	58
"Sro146_g067680.1"	4	2	15	51	20	5	8	5	17	10	17	3	2	13
"Sro146_g067690.1"	10	4	12	5	0	0	0	1	5	0	0	0	0	0
"Sro146_g067700.1"	0	3	11	14	0	1	0	0	8	9	0	0	0	8
"Sro146_g067710.1"	18	7	22	38	0	22	2	0	9	0	18	1	0	17
"Sro146_g067720.1"	7	5	20	16	0	4	3	7	13	0	7	0	0	10
"Sro1470_g275370.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1470_g275380.1"	3	0	0	1	0	1	0	0	0	0	0	0	3	0
"Sro1470_g275390.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1470_g275400.1"	27	5	69	31	47	26	10	14	44	0	0	4	2	18
"Sro1471_g275410.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1471_g275420.1"	56	45	35	103	32	49	26	49	59	9	17	0	25	91
"Sro1471_g275420.2"	0	13	44	0	0	0	0	0	0	0	0	8	0	0
"Sro1471_g275430.1"	272	188	305	737	393	291	177	300	472	99	296	98	123	497
"Sro1471_g275440.1"	2	0	7	1	7	0	0	0	6	0	4	0	0	8
"Sro1471_g275450.1"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Sro1472_g275460.1"	10	6	0	18	0	0	0	0	8	0	0	0	0	3
